_id,Food, Servings,Calories,Calories from Fat,Total Fat (g),Total Fat (%DV) ,Sodium (g),Sodium (%DV) ,Potassium (g),Potassium (%DV),Total Carbo-hydrate (g) ,Total Carbo-hydrate (%DV) ,Dietary Fiber (g) ,Dietary Fiber (%DV) ,Sugars (g) ,Protein (g) ,Vitamin A (%DV),Vitamin C (%DV) ,Calcium (%DV) 
5fc8e8f12f687d34c0db0121,Green Cabbage, 1/12 medium head (84 g/3.0 oz),25,false,false,false,20,true,190,5,5,2,2,8,3,true,false,70,4
5fc8e8f12f687d34c0db0122,Green Onion, 1/4 cup chopped (25 g/0.9 oz),10,false,false,false,10,false,70,2,2,true,true,4,true,false,2,8,2
5fc8e8f12f687d34c0db011c,Carrot," 1 carrot  7"" long  1 1/4"" diameter (78 g/2.8 oz)",30,false,false,false,60,3,250,7,7,2,2,8,5,true,110,10,2
5fc8e8f12f687d34c0db011e,Celery, 2 medium stalks (110 g/3.9 oz),15,false,false,false,115,5,260,7,4,true,2,8,2,false,10,15,4
5fc8e8f12f687d34c0db0125,Mushrooms, 5 medium (84 g/3.0 oz),20,false,false,false,15,false,300,9,3,true,true,4,false,3,false,2,false
5fc8e8f12f687d34c0db013b,Pineapple," 2 slices  3"" diameter  3/4"" thick",50,false,false,false,10,false,120,3,13,4,true,4,10,true,2,50,2
5fc8e8f12f687d34c0db0124,Leaf Lettuce, 1 1/2 cups shredded (85 g/3.0 oz),15,false,false,false,35,true,170,5,2,true,true,4,true,true,130,6,2
5fc8e8f12f687d34c0db012c,Tomato, 1 medium (148 g/5.3 oz),25,false,false,false,20,true,340,10,5,2,true,4,3,true,20,40,2
5fc8e8f12f687d34c0db012f,Banana, 1 medium (126 g/4.5 oz),110,false,false,false,false,false,450,13,30,10,3,12,19,true,2,15,false
5fc8e8f12f687d34c0db013e,Sweet Cherries , 21 cherries; 1 cup,100,false,false,false,false,false,350,10,26,9,true,4,16,true,2,15,2
5fc8e8f12f687d34c0db011a,Bell Pepper, 1 medium (148 g/5.3 oz),25,false,false,false,40,2,220,6,6,2,2,8,4,true,4,190,2
5fc8e8f12f687d34c0db012d,Apple, 1 large (242 g/8 oz),130,false,false,false,false,false,260,7,34,11,5,20,25,true,2,8,2
5fc8e8f12f687d34c0db0134,Kiwifruit, 2 medium (148 g/5.3 oz),90,10,true,2,false,false,450,13,20,7,4,16,13,true,2,240,4
5fc8e8f12f687d34c0db013d,Strawberries, 8 medium (147 g/5.3 oz),50,false,false,false,false,false,170,5,11,4,2,8,8,true,false,160,2
5fc8e8f12f687d34c0db0126,Onion, 1 medium (148 g/5.3 oz),45,false,false,false,5,false,190,5,11,4,3,12,9,true,false,20,4
5fc8e8f12f687d34c0db0141,Blue Crab,false,100,10,true,2,330,14,300,9,false,false,false,false,false,20,false,4,10
